"White","Black","Pawn","Bishop","Knight","Rook","King","Queen","From","To","WhiteTurn"
"65535","-281474976710656","71776119061282560","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","10","26","true"
"67173375","-281474976710656","71776119128390400","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","53","37","false"
"67173375","-9288536792498176","62769057312602880","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","9","17","true"
"67695615","-9288536792498176","62769057313125120","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","55","39","false"
"67695615","-13774544233824256","58283049871799040","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","1","11","true"
"76051455","-13774544233824256","58283049880154880","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","49","33","false"
"76051455","-31718573999128576","40339020114850560","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","12","20","true"
"77095935","-31718573999128576","40339020115895040","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","61","16","false"
"76051455","-14337485597310976","57720108516668160","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","7","15","true"
"76084095","-14337485597310976","57720108516668160","2594073385365405732","4755801206503243842","-9151314442816815103","1152921504606846992","576460752303423496","58","49","false"
"76052471","-14337485597310976","57720108516668160","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303424512","57","40","false"
"67697661","-13774544233824256","58283049871799040","2594073385365405732","4755801206503245888","-9151314442816847743","1152921504606846992","576460752303423496","50","34","false"
"67697661","-14054919698907136","58002674406716160","2594073385365405732","4755801206503245888","-9151314442816847743","1152921504606846992","576460752303423496","11","21","true"
"69792765","-14054919698907136","58002674406716160","2594073385365405732","4755801206505340992","-9151314442816847743","1152921504606846992","576460752303423496","62","45","false"
"68742141","-14054919698907136","58002674407760640","2594073385365405732","4755801206503245888","-9151314442816847743","1152921504606846992","576460752303423496","50","42","false"
"67697661","-14900426960797696","57157167144825600","2594073385365405732","4755801206503245888","-9151314442816847743","1152921504606846992","576460752303423496","12","28","true"
"336129021","-14900426960797696","57157167413256960","2594073385365405732","4755801206503245888","-9151314442816847743","1152921504606846992","576460752303423496","59","38","false"
"67695615","-45316784055648256","26740810049975040","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","2","29","true"
"67826175","-45316784055648256","26740810050105600","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","51","43","false"
"67826175","-45316920957730816","26740673148023040","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","17","25","true"
"84603135","-45316920957730816","26740673164800000","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","54","38","false"
"101249535","-45316920957730816","26740673181446400","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","60","53","false"
"67826175","-47559787776311296","24497806329442560","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","12","20","true"
"68870655","-47559787776311296","24497806330487040","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","60","53","false"
"274945733115","-47559787776311296","24497806329442560","2594073660243312672","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","57","40","false"
"604566523","-45316784055648256","26740810049975040","2594073385902276640","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","48","40","false"
"604566523","-45597159520731136","26460434584892160","2594073385902276640","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","8","24","true"
"621343483","-45597159520731136","26460434601669120","2594073385902276640","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","62","47","false"
"67303935","-9288536792498176","62769057312733440","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","48","40","false"
